titulo,autor,ubicacion,portada,categoria
CRETA,ANTONY BEEVOR,PA-A29,portadas/CRETA.JPG,"HISTORIA, NOVELA, MILITAR, NO FICCION"
METAFISICA,ARISTOTELES,PA-A30,portadas/METAFISICA.JPG,"ENSAYO, CIENCIA, CLASICO, FILOSOFIA"
2001 UNA ODISEA ESPACIAL,ARTHUR C. CLARKE,PA-A31,portadas/2001.JPG,"NOVELA, CIENCIA FICCION, CLASICO"
SOBRE LA CUADRUPLE RAIZ DEL PRINCIPIO DE RAZON SUFICIENTE,ARTHUR SCHOPENHAUER,PA-A32,portadas/SOBRELACUADRUPLE.JPG,"FILOSOFIA, CLASICO"
VETERANOS DE 1978,ARTURO NAHUEL ROJAS,PA-A33,portadas/VETERANOSDE1978.JPG,"HISTORIA, ENSAYO, CHILE, CONFLICTO BEAGLE, MILITAR"
HOMBRES FACHOS,ARTURO RUIZ,PA-A34,portadas/HOMBRESFACHOS.JPG,"ENSAYO, POLITICA"
CAMINO RECORRIDO TOMO I,AUGUSTO PINOCHET,PA-A35,portadas/CAMINORECORRIDO_I.JPG,"BIOGRAFIA, CHILE, MILITAR"
CAMINO RECORRIDO TOMO II,AUGUSTO PINOCHET,PA-A36,portadas/CAMINORECORRIDO_II.JPG,"BIOGRAFIA, CHILE, MILITAR"
CAMINO RECORRIDO TOMO III,AUGUSTO PINOCHET,PA-A37,portadas/CAMINORECORRIDO_III.JPG,"BIOGRAFIA, CHILE, MILITAR"
EL ODIO A LOS RICOS,AXEL KAISER,PA-A38,portadas/ELODIOALOSRICOS.JPG,"ENSAYO, POLITICA, CHILE"
ALEMANES EN VALPARAISO 1830-1930,BALDOMERO ESTRADA TURRA,PA-A39,portadas/ALEMANESENVALPARAISO.JPG,"HISTORIA, CHILE"
SUBTERRA,BALDOMERO LILLO,PA-A40,portadas/SUBTERRA.JPG,"NOVELA, CHILE"
EL SOCIALISMO EN CHILE,BELARMINO ELGUETA,PA-A41,portadas/ELSOCIALISMOENCHILE.JPG,"ENSAYO, POLITICA, CHILE"
ESTA HISTORIA ES MI HISTORIA,BELISARIO VELASCO,PA-A42,portadas/ESTAESMIHISTORIA.JPG,"BIOGRAFIA, POLITICA"
EL ARTE DE SACAR LA VUELTA,BENJAMIN CHACANA PONCE,PA-A43,portadas/ELARTEDESACARLAVUELTA.JPG,"AUTOAYUDA, CRITICA"
ESTAMBUL,BETTANY HUGHES,PA-A44,portadas/ESTAMBUL.JPG,HISTORIA
EL ULTIMO VIRREY DEL PERU,BRUNO POLACK,PA-A45,portadas/ELULTIMOVIRREY.JPG,"ENSAYO, HISTORIA, POLITICA, MILITAR"
LO MARAVILLOSO EN LOS JUEGOS DE AZAR ,C. DE VESME,PA-A46,portadas/LOMARAVILLOSODELOS.JPG,ESOTERICO 
EL LIBRO ROJO,CARL GUSTAV JUNG,PA-A47,portadas/ELLIBROROJO.JPG,PSICOLOGIA
SOBRE EL AMOR,CARL GUSTAV JUNG,PA-A48,portadas/SOBREELAMOR.JPG,PSICOLOGIA
LIBIDO SUEÑOS E INCONSCIENTE COLECTIVO,CARL GUSTAV JUNG,PA-A49,portadas/SUENOSEINCOSCIENTE.JPG,PSICOLOGIA
ARQUETIPOS E INCONSCIENTE COLECTIVO,CARL GUSTAV JUNG,PA-A50,portadas/ARQUETIPOSEINCONSCIENTE.JPG,PSICOLOGIA
LAS CLAVES SECRETAS DE SHAKESPEARE,CARLOS BASSO,PA-A51,portadas/LASCLAVESDESHAKE.JPG,"NOVELA, HISTORIA, THRILLER"
EL ARTE DE ENSOÑAR,CARLOS CASTANEDA,PA-A52,portadas/ELARTEDEENSONAR.JPG,"NOVELA, ESOTERICO"
ESTAMOS HECHOS DE LENGUAJE,CARME JIMENEZ HUERTAS,PA-A53,portadas/ESTAMOSHECHOSDE.JPG,"ENSAYO, PSICOLOGIA, CIENCIAS SOCIALES"
GUERREROS CIVILIZADORES,CARMEN MC EVOY,PA-A54,portadas/GUERREROSCIVILIZADORES.JPG,"ENSAYO, HISTORIA, POLITICA, MILITAR, CIENCIAS SOCIALES"
COMPENDIUM BUKOWSKI,CHARLES BUKOWSKI,PA-A55,portadas/COMPENDIUMCHARLES.JPG,"NOVELA, CLASICO"
RAMSES LA DAMA DE ABU SIMBEL,CHRISTIAN JACQ,PA-A56,portadas/RAMSES.JPG,"NOVELA, HISTORIA, FICCION"
USOS Y COSTUMBRES DE LOS ARAUCANOS,CLAUDIO GAY,PA-A57,portadas/USOSYCOSTUMBRES.JPG,"ENSAYO, HISTORIA, CIENCIAS SOCIALES"
1817 DE MENDOZA A CHACABUCO,CRISTIAN GUERRERO LIRA,PA-A58,portadas/DEMENDOZAACHACABUCO.JPG,"ENSAYO, HISTORIA, MILITAR"
AUSTRIA A SOLDIER'S GUIDE,CZERNIN,PA-A59,portadas/AUSTRIAASOLDIERS.JPG,"HISTORIA, NO FICCION"
ROBINSON CRUSOE,DANIEL DEFOE,PA-A60,portadas/ROBINSONCRUSOE.JPG,"NOVELA, FICCION, CLASICO, INGLES"
¿Y PORQUE NOT?,DANIEL FAJARDO,PA-A61,portadas/YPORQUENOT.JPG,"AUTOAYUDA, LIDERAZGO"
RUIDO UN FALLO EN EL JUICIO HUMANO,DANIEL KAHNEMAN,PA-A62,portadas/RUIDO.JPG,"AUTOAYUDA, PSICOLOGIA"
PENSAR RAPIDO PENSAR DESPACIO,DANIEL KAHNEMAN,PA-B01,portadas/PENSARRAPIDO.JPG,"AUTOAYUDA, PSICOLOGIA"
INFERNO,DANTE ALIGHIERI,PA-B02,portadas/INFERNO.JPG,"POESIA, EPICO, LITERATURA, CLASICO"
COMEDIA,DANTE ALIGHIERI,PA-B03,portadas/COMEDIA.JPG,"POESIA, EPICO, LITERATURA, CLASICO"
LA GUERRA DE HITLER,DAVID IRVING,PA-B04,portadas/LAGUERRADEHITLER.JPG,"HISTORIA, MILITAR, BIOGRAFIA, NO FICCION"
TOKIO AÑO CERO,DAVID PEACE,PA-B05,portadas/TOKIOANOCERO.JPG,"NOVELA, THRILLER, FICCION, HISTORIA"
EL RETORNO DE MERLIN,DEEPAK CHOPRA,PA-B06,portadas/ELRETORNODEMERLIN.JPG,"NOVELA, FICCION, FANTASIA"
EDDA MAYOR,DESCONOCIDO,PA-B07,portadas/EDDAMAYOR.JPG,"POESIA, EPICO, MITOLOGIA, CLASICO"
BHAGAVADGITA,DESCONOCIDO,PA-B08,portadas/BHAGAVAD.JPG,"POESIA, EPICO, MITOLOGIA, CLASICO"
NUEVO TESTAMENTO,DESCONOCIDO,PA-B09,portadas/NUEVOTESTAMENTO.JPG,"POESIA, EPICO, MITOLOGIA, CLASICO"
BECHAMEL MUCHO,DIMITRI VERHULST,PA-B10,portadas/BECHAMELMUCHO.JPG,"NOVELA, HOLANDES"
THE POWER OF THE DOG,DON WINSLOW,PA-B11,portadas/THEPOWEROFTHEDOG.JPG,"NOVELA, THRILLER, FICCION, POLITICA, INGLES"
CIUDAD EN LLAMAS,DON WINSLOW,PA-B12,portadas/CIUDADENLLAMAS.JPG,"NOVELA, THRILLER, FICCION, POLITICA"
NARRACIONES EXTRAORDINARIAS,EDGAR ALLAN POE,PA-B13,portadas/NARRACIONESEXTRAORDINARIAS.JPG,"ANTOLOGIA, TERROR, FICCION"
RUNENKUNDE,EDMUND WEBER,PA-B14,portadas/RUNNENKUNDEEDMUND.JPG,"ALEMAN, ESOTERICO"
RUNENKUNDE,EDMUND WEBER,PA-B15,portadas/RUNNENKUNDEEDMUND.JPG,"ALEMAN, ESOTERICO"
CHILE AL ROJO,EDUARDO LABARCA,PA-B16,portadas/CHILEALROJO.JPG,"ENSAYO, POLITICA"
LOS OJOS DE LA VERDAD,ELEODORO SANHUEZA,PA-B17,portadas/LOSOJOSDELAVERDAD.JPG,"ENSAYO, HISTORIA"
LA GENERACION FUSILADA,EMILIANO VALENZUELA,PA-B18,portadas/LAGENERACIONFUSILADA.JPG,"ENSAYO, HISTORIA, POLITICA, CHILE"
ELOGIO DE LA LOCURA,ERASMO DE ROTTERDAM,PA-B19,portadas/ELOGIODELALOCURA.JPG,"ENSAYO, FILOSOFIA"
HISTORIA DEL SIGLO XX,ERIC HOBSBAWM,PA-B20,portadas/HISTORIADELSIGLOXX.JPG,"ENSAYO, HISTORIA"
EL ALMANAQUE DE NAVAL RAVIKANT,ERIC JORGENSON,PA-B21,portadas/ELAMANAQUE.JPG,"AUTOAYUDA, FILOSOFIA"
DESARROLLO ECONOMICO,ERIK HAINDL,PA-B22,portadas/DESARROLLOECONOMICO.JPG,ECONOMIA
HISTORIA POLITICA Y ECONOMICA DE CHILE 1540-2020,ERIK HAINDL,PA-B23,portadas/HISTORIAPOLITICA.JPG,"HISTORIA, POLITICA, CHILE"
TEMPESTADES DE ACERO,ERNST JUNGER,PA-B24,portadas/TEMPESTADESDECACERO.JPG,"HISTORIA, NOVELA, NO FICCION, PRIMERA GUERRA MUNDIAL"
FRANCISCO PIZARRO,ESTEBAN MIRA CEBALLOS,PA-B25,portadas/FRANCISCOPIZARRO.JPG,"BIOGRAFIA, HISTORIA, NO FICCION"
ANGAMOS EL DIA QUE SE CAZO AL HUASCAR,FABIAN BERRIOS VILLALON,PA-B26,portadas/ANGAMOS.JPG,"HISTORIA, GUERRA DEL PACIFICO, CHILE"
ARTE Y TEOLOGIA,FEDERICO AGUIRRE ROMERO,PA-B27,portadas/ARTEYTEOLOGIA.JPG,"ENSAYO, NO FICCION, ARTE"
MONTECASSINO,FELIPE BOTAYA,PA-B28,portadas/MONTECASSINO.JPG,"NOVELA, HISTORIA, MILITAR, SEGUNDA GUERRA MUNDIAL"
LA ESPADA DEL ARCA,FELIPE BOTAYA,PA-B29,portadas/LAESPADADELARCA.JPG,"NOVELA, FICCION, HISTORIA"
GARDEL,FELIPE PIGNA,PA-C01,portadas/GARDEL.JPG,BIOGRAFIA 
HISTORIA DE LA REPUBLICA DE CHILE VOLUMEN I,FERNANDO SILVA,PA-C02,portadas/HISTORIADELAREPUBLICADECHILE.JPG,"HISTORIA, POLITICA, CHILE"
INSURRECCION,FERNANDO VILLEGAS,PA-C03,portadas/INSURRECION.JPG,"ENSAYO, NO FICCION, CRITICA, POLITICA"
MARCHEN AUS OSTERREICH,FISCHER,PA-C04,portadas/MARCHEN.JPG,"CULTURA, AUSTRIA, ALEMAN"
LA CASA NEVILLE,FLORENCIA BONELLI,PA-C05,portadas/LACASANEVILLE.JPG,"NOVELA, ROMANCE"
CONTRIBUCION AL ESTUDIO DE LA PREHISTORIA UNIVERSAL,FLORENCIO DE BASALDUA,PA-C06,portadas/CONTRIBUCION.JPG,ESOTERICO
LEON BAVARO: LAS PERIPECIAS DE UN SOLDADO DE NAPOLEON,FRANCISCA HERNANDEZ BUSSE,PA-C07,portadas/LEONBAVARO.JPG,"HISTORIA, EUROPA, MILITAR"
ALEJANDRO MAGNO,FRANCISCO JAVIER NAVARRO,PA-C08,portadas/ALEJANDROMAGNO.JPG,"BIOGRAFIA, HISTORIA, NO FICCION, MILITAR, POLITICA"
LOGIA,FRANCISCO ORTEGA,PA-C09,portadas/LOGIA_I.JPG,"NOVELA, THRILLER, HISTORIA"
LOGIA,FRANCISCO ORTEGA,PA-C10,portadas/LOGIA_II.JPG,"NOVELA, THRILLER, HISTORIA"
PENSAR DESDE EL ARTE,FRANÇOIS FEDIER,PA-C11,portadas/PENSARDESDEELARTE.JPG,"ENSAYO, FILOSOFIA"
DUNE,FRANK HERBERT,PA-C12,portadas/DUNE.JPG,"NOVELA, CIENCIA FICCION"
EL MESIAS DE DUNE,FRANK HERBERT,PA-C13,portadas/ELMESIASDEDUNE.JPG,"NOVELA, CIENCIA FICCION"
EL VIAJERO Y SU SOMBRA,FRIEDRICH NIETZCHE,PA-C14,portadas/ELVIAJERO.JPG,"FILOSOFIA, CLASICO"
ASI HABLABA ZARATRUSTRA,FRIEDRICH NIETZSCHE,PA-C15,portadas/ASIHABLABAZARA.JPG,"FILOSOFIA, CLASICO"
RELATO DE UN NAUFRAGO,GABRIEL GARCIA MARQUEZ,PA-C16,portadas/REALTODEUNNAUFRAGO.JPG,"CRONICA, NO FICCION"
VIVIR PARA CONTARLA,GABRIEL GARCIA MARQUEZ,PA-C17,portadas/VIVIRPARACONTARLO.JPG,BIOGRAFIA
TALA,GABRIELA MISTRAL,PA-C18,portadas/TALA.JPG,POESIA
UN HEROE VAGABUNDO,GARBO,PA-C19,portadas/UNHEROEVAGA.JPG,LITERATURA
JUJUTSU KAISEN 1,GEGE AKUTAMI,PA-C20,portadas/JUJUTSUI.JPG,MANGA
JUJUTSU KAISEN 2,GEGE AKUTAMI,PA-C21,portadas/JUJUTSUII.JPG,MANGA
1984,GEORGE ORWELL,PA-C22,portadas/1984.jpg,"NOVELA, CIENCIA FICCION, POLITICA"
COLISEO POLITICO RETRATOS DEL PODER EN CHILE,GERMAN SILVA CUADRA,PA-C23,portadas/COLISEOPOLITICO.JPG,"ENSAYO, CRONICA, NO FICCION, POLITICA"
COCHRANE VS CTHULHU,GILBERTO VILLAROEL,PA-C24,portadas/COCHRANE.JPG,"NOVELA, FICCION, HISTORIA"
EDUCACION MILITAR EN EL SIGLO XXI,GONZALO SANTELICES,PA-C25,portadas/LAED.JPG,"ENSAYO, MILITAR, CIENCIAS POLITICAS"
PRACTICANDO YOGA,GRUPO EDITORIAL TOMO,PA-C26,portadas/PACTICANDO.JPG,AUTOAYUDA 
LA SOMBRA DE PATRICIO LYNCH,GUILLERMO PARVEX,PA-C27,portadas/LASOMBRA.JPG,"HISTORIA, MILITAR, NO FICCION"
ASALTO FINAL,GUILLERMO PARVEX,PA-C28,portadas/ASALTOFINAL.JPG,"NO FICCION, HISTORIA, MILITAR, CHILE"
FRONTERA SUR,GUILLERMO PARVEX,PA-C29,portadas/FRONTERASUR.JPG,"HISTORIA, MILITAR, NO FICCION"
INVASION DEL GULUMAPU,GUILLERMO PARVEX,PA-C30,portadas/INVASIONDEL.JPG,"HISTORIA, MILITAR, NO FICCION"
TENIENTE HERNAN MERINO,GUILLERMO PARVEX,PA-C31,portadas/TENIENTEHERNA.JPG,"HISTORIA, MILITAR, NO FICCION"
UN VETERANO DE TRES GUERRAS,GUILLERMO PARVEX,PA-C32,portadas/UNVETERANO.JPG,"HISTORIA, MILITAR, NO FICCION"
SERVICIO SRCRETO CHILENO,GUILLERMO PARVEX,PA-C33,portadas/SERVICIOSECRETO.JPG,"HISTORIA, MILITAR, NO FICCION"
EL ROSTRO VERDE,GUSTAV MEYRINK,PA-C34,portadas/ELTROSTRO.JPG,"NOVELA, ESOTERICO"
EL ROSTRO VERDE,GUSTAV MEYRINK,PA-C35,portadas/ELTROSTRO.JPG,"NOVELA, ESOTERICO"
MADAME BOVARY,GUSTAVE FLAUBERT,PA-C36,portadas/MADAMEBOVARY.JPG,"NOVELA, FICCION"
CHINA EL IMPERIO DE LAS MENTIRAS,GUY SORMAN,PA-C37,portadas/ELIMPERIO.JPG,"CRITICA, ENSAYO, NO FICCION, POLITICA"
THE TIME MACHINE,H.G. WELLS,PA-C38,portadas/THETIMEMACHINE.JPG,"NOVELA, CIENCIA FICCION, CLASICO, INGLES"
LA GUERRA DE LOS MUNDOS ,H.G. WELLS,PA-C39,portadas/LAGUERRADELOS.JPG,"NOVELA, CIENCIA FICCION, CLASICO"
EL CASO DE CHARLES DEXTER WARD,H.P. LOVECRAFT,PA-C40,portadas/ELCASODE.JPG,"NOVELA, CIENCIA FICCION, TERRROR, CLASICO"
NARRATIVA COMPLETA 1,H.P. LOVECRAFT,PA-C41,portadas/LOVECRAFTI.JPG,"NOVELA, CIENCIA FICCION, TERROR, CLASICO"
NARRATIVA COMPLETA 2,H.P. LOVECRAFT,PA-C42,portadas/LOVECRAFTI.JPG,"NOVELA, CIENCIA FICCION, TERROR,CLASICO"
NARRATIVA COMPLETA 3,H.P. LOVECRAFT,PA-C43,portadas/LOVECRAFTI.JPG,"NOVELA, CIENCIA FICCION, TERROR, CLASICO"
EL MITO DE CTUHULHU,H.P. LOVECRAFT ,PA-C44,portadas/LOSMITOSDE.JPG,"NOVELA, CIENCIA FICCION, TERROR"
RUNENKUNDE,HEINAR SCHILLING,PA-C45,portadas/RUNENKUNDE.JPG,"ESOTERICO, ALEMAN"
RUNENKUNDE,HEINAR SCHILLING,PA-C46,portadas/RUNENKUNDE.JPG,"ESOTERICO, ALEMAN"
TEJAS VERDES,HERNAN VALDES,PA-C47,portadas/TEJASVERDES.JPG,"CRONICA, NO FICCION, HISTORIA"
EL DIARIO DE LA POSGUERRA EN LA PRISION,HIDEKI TOJO,PA-C48,portadas/MIDIARIO.JPG,"BIOGRAFIA, SEGUNDA GUERRA MUNDIAL "
LA ODISEA ,HOMERO,PA-C49,portadas/LAODISEA.JPG,"HISTORIA, GRECIA, CLASICO"
ESPEJISMO,HUGH HOWEY,PA-C50,portadas/ESPEJISMO.JPG,"NOVELA, CIENCIA FICCION"
DESCENSO A LOS INFIERNOS,IAN KERSHAW,PA-C51,portadas/DESCENSOALOS.JPG,"HISTORIA, PRIMERA GUERRA MUNDIAL, SEGUNDA GUERRA MUNDIAL, EUROPA"
HISTORIAS DEL IMPERIO ROMANO,IÑAKI SANTAMARIA CARBAJO,PA-C52,portadas/IÑAKI.JPG,"NOVELA, HISTORIA, ROMA"
SANGRE PRETORIANA,IÑAKI SANTAMARIA CARBAJO,PA-C53,portadas/SANGREPRETO.JPG,"NOVELA, HISTORIA, ROMA"
TRIOLOGIA IMPERIO,ISAAC ASIMOV,PA-C54,portadas/TRILOGIAIMPERIO.JPG,"NOVELA, CIENCIA FICCION, CLASICO"
FRONTERAS Y OTROS ENSAYOS,ISAAC ASIMOV,PA-C55,portadas/FRONTERASYOTROS.JPG,"NOVELA, CIENCIA FICCION "
ANOCHECER Y OTROS CUENTOS,ISAAC ASIMOV,PA-C56,portadas/ANOCHECERYOTROS.JPG,"NOVELA, CIENCIA FICCION "
TRIOLOGIA DE LA FUNDACION,ISAAC ASIMOV,PA-C57,portadas/TRILOGIAFUNDACION.JPG,"NOVELA, CIENCIA FICCION, CLASICO"
THE CAVES OF STEEL,ISAAC ASIMOV,PA-C58,portadas/THECAVESOF.JPG,"NOVELA, CIENCIA FICCION, INGLES"
ANTES DE LA EDAD DE ORO,ISAAC ASIMOV,PA-C59,portadas/ANTESDELAEDAD.JPG,"NOVELA, CIENCIA FICCION "
VIAJE ALUCINANTE,ISAAC ASIMOV,PA-C60,portadas/VIAJEALUCINANTE.JPG,"NOVELA, CIENCIA FICCION "
HIJO DEL TIEMPO,ISAAC ASIMOV,PA-C61,portadas/HIJODEL.JPG,"NOVELA, CIENCIA FICCION "
EL ROBOT HUMANO,ISAAC ASIMOV,PA-C62,portadas/ELROBOT.JPG,"NOVELA, CIENCIA FICCION "
EL HOMBRE BICENTENARIO ,ISAAC ASIMOV,PA-D01,portadas/ELHOMBRE.JPG,"NOVELA, CIENCIA FICCION "
YO ROBOT,ISAAC ASIMOV,PA-D02,portadas/YOROBOT.JPG,"NOVELA, CIENCIA FICCION "
ROBOTS E IMPERIO,ISAAC ASIMOV,PA-D03,,"NOVELA, CIENCIA FICCION "
FUNDACION ,ISAAC ASIMOV,PA-D04,,"NOVELA, CIENCIA FICCION "
FUNDACION E IMPERIO,ISAAC ASIMOV,PA-D05,,"NOVELA, CIENCIA FICCION "
FUNDACION Y TIERRA ,ISAAC ASIMOV,PA-D06,,"NOVELA, CIENCIA FICCION "
PRELUDIO A LA FUNDACION ,ISAAC ASIMOV,PA-D07,,"NOVELA, CIENCIA FICCION "
HACIA LA FUNDACION,ISAAC ASIMOV,PA-D08,,"NOVELA, CIENCIA FICCION "
EL HOBBIT,J.R.R TOLKIEN,PA-D09,,FANTASIA
COLMILLO BLANCO,JACK LONDON,PA-D10,,"NOVELA, CLASICO"
HITLER EN CANARIAS ?,JAIME RUBIO ROSALES,PA-D11,,"HISTORIA, SEGUNDA GUERRA MUNDIAL"
MAZE RUNNER CORRER O MORIR,JAMES DASHNER,PA-D12,,"NOVELA, CIENCIA FICCION"
MAZE RUNNER PRUEBA DE FUEGO,JAMES DASHNER,PA-D13,,"NOVELA, CIENCIA FICCION"
"DESDE LAS CENIZAS: VIDA, MUERTE Y TRANSFIGURACION DE LA DEMOCRACIA EN CHILE 1833-1988",JAMES R. WHELAN,PA-D14,,"HISTORIA, POLITICA, CHILE"
EL DESPERTAR DEL LEVIATAN,JAMES S. A. COREY,PA-D15,,"NOVELA, CIENCIA FICCION "
ROMA INVICTA,JAVIER NEGRETE,PA-D16,,"NOVELA, HISTORIA, ROMA"
LATIDOS,JAVIER RUESCAS,PA-D17,,NOVELA
MITOLOGIA MAYA,JAVIER TAPIA,PA-D18,,MITOLOGIA 
MITOLOGIA VIKINGA,JAVIER TAPIA,PA-D19,,MITOLOGIA 
LA REVOLUCION FRANCESA,JEAN CLEMENT MARTIN,PA-D20,,"ENSAYO, HISTORIA"
WAFFEN SS ,JEAN LUC LELEU,PA-D21,,"HISTORIA, SEGUNDA GUERRA MUNDIAL"
ENSAYO SOBRE EL FRACASO HISTORICO DE LA DEMOCRACIA EN EL SIGLO XXI,JESUS G. MAESTRO,PA-D22,,"ENSAYO, HISTORIA, POLITICA"
HISTORIA UNIVERSAL FREAK,JOAQUIN BARAÑAO,PA-D23,,"HISTORIA, ENSAYO"
VALPARAISO,JOAQUIN EDWARDS BELLO,PA-D24,,"NOVELA, CHILE"
LA REVOLUCION INCONCLUSA TOMO 1,JOAQUIN FERMANDOIS,PA-D25,,"ENSAYO, HISTORIA, POLITICA, CHILE"
LA REVOLUCION INCONCLUSA TOMO 2,JOAQUIN FERMANDOIS,PA-D26,,"ENSAYO, HISTORIA, POLITICA, CHILE"
LA REVOLUCION INCONCLUSA TOMO 3,JOAQUIN FERMANDOIS,PA-D27,,"ENSAYO, HISTORIA, POLITICA, CHILE"
EL NIÑO CON PIJAMA DE RAYAS,JOHN BOYNE,PA-E01,,"NOVELA, HISTORIA"
COMPRENDER LOS CONCEPTOS BASICOS DE LA ECONOMIA,JOHN CHARLES POOL,PA-E02,,ECONOMIA 
EL PARAISO PERDIDO,JOHN MILTON,PA-E03,,"ENSAYO, POESIA"
YGDRASIL,JORGE BARADIT,PA-E04,,"NOVELA, CIENCIA FICCION "
LA GUERRA INTERIOR,JORGE BARADIT,PA-E05,,NOVELA 
KALFUKURA EL CORAZON DE LA TIERRA,JORGE BARADIT,PA-E06,,NOVELA
SE LAS HECHO EL BUIN,JORGE INOSTROSA,PA-E07,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
ADIOS AL SEPTIMO DE LINEA TOMO 1,JORGE INOSTROSA ,PA-E08,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
ADIOS AL SEPTIMO DE LINEA TOMO 2,JORGE INOSTROSA ,PA-E09,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
ADIOS AL SEPTIMO DE LINEA TOMO 3,JORGE INOSTROSA ,PA-E10,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
ADIOS AL SEPTIMO DE LINEA TOMO 4,JORGE INOSTROSA ,PA-E11,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
ADIOS AL SEPTIMO DE LINEA TOMO 5,JORGE INOSTROSA ,PA-E12,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
